# SYNTHETIC ACADEMIC DATA — Not real HR data. Generated for IRS demonstration and ML training purposes only.
experience_years,performance_rating,skill_coverage_pct,avg_skill_level,mandatory_skill_gap_count,cert_completion_rate,project_completion_rate,lead_project_completion_rate,avg_project_rating,current_grade_encoded,target_grade_encoded,grade_gap,skill_score,cert_score,experience_score,project_score,performance_score,readiness_score,promotion_success
5.6,3.95,65.0,1.26,7,0.807,0.746,0.623,3.73,1,2,1,26.0,12.1,15.0,14.18,7.9,75.18,1
2.2,3.59,59.44,2.13,5,0.705,0.937,0.297,2.17,1,2,1,23.78,10.58,8.25,14.9,7.18,64.69,0
9.5,3.76,83.59,2.95,4,0.554,0.891,0.776,2.32,4,5,1,33.44,8.31,14.25,17.13,7.52,80.65,1
5.9,4.12,33.17,0.89,8,0.426,0.281,0.242,3.57,3,4,1,13.27,6.39,11.06,5.39,8.24,44.35,0
5.6,2.85,26.16,2.46,8,0.383,0.906,0.835,2.67,3,4,1,10.46,5.74,10.5,17.69,5.7,50.09,0
2.1,4.2,68.76,2.75,4,0.184,0.625,0.227,3.6,2,3,1,27.5,2.76,5.25,10.11,8.4,54.02,0
3.1,2.4,76.17,2.78,2,0.675,0.819,0.307,3.64,1,2,1,30.47,10.12,11.62,13.31,4.8,70.32,1
0.5,3.76,44.73,2.34,5,0.617,0.8,0.729,3.16,1,2,1,17.89,9.25,1.88,15.57,7.52,52.11,0
5.7,3.64,86.69,2.66,1,0.924,0.562,0.356,4.77,2,3,1,34.68,13.86,14.25,10.0,7.28,80.07,1
4.7,3.01,96.71,4.72,2,0.771,0.891,0.512,3.91,1,2,1,38.68,11.56,15.0,15.55,6.02,86.81,1
8.9,3.48,79.65,3.66,1,0.355,0.828,0.581,4.35,4,5,1,31.86,5.32,13.35,15.08,6.96,72.57,1
3.3,3.0,39.32,2.44,4,0.736,0.736,0.251,4.14,2,3,1,15.73,11.04,8.25,11.81,6.0,52.83,0
3.1,2.64,78.66,2.93,2,0.47,0.706,0.53,3.39,1,2,1,31.46,7.05,11.62,13.06,5.28,68.47,1
1.2,3.22,76.13,2.97,2,0.54,0.605,0.582,3.36,1,2,1,30.45,8.1,4.5,11.96,6.44,61.45,0
4.3,2.62,95.71,2.23,0,0.752,0.803,0.621,3.29,1,2,1,38.28,11.28,15.0,14.97,5.24,84.77,1
0.5,3.76,73.27,2.23,2,0.396,0.451,0.282,3.98,1,2,1,29.31,5.94,1.88,8.01,7.52,52.66,0
7.2,2.58,85.53,4.01,4,0.859,0.682,0.663,3.04,4,5,1,34.21,12.88,10.8,13.53,5.16,76.58,1
0.5,4.07,81.45,2.58,4,0.692,0.744,0.582,4.71,1,2,1,32.58,10.38,1.88,13.91,8.14,66.89,1
0.5,2.55,96.44,1.91,2,0.812,0.768,0.261,2.98,2,3,1,38.58,12.18,1.25,12.32,5.1,69.43,0
9.4,3.05,56.46,2.96,9,0.731,0.793,0.61,3.65,3,4,1,22.58,10.96,15.0,14.76,6.1,69.4,1
10.2,3.0,83.41,3.12,2,0.312,0.604,0.206,3.34,4,5,1,33.36,4.68,15.0,9.69,6.0,68.73,1
4.2,4.56,92.81,1.03,0,0.846,0.752,0.387,3.18,3,4,1,37.12,12.69,7.88,12.85,9.12,79.66,1
0.5,3.76,70.75,2.96,4,0.871,0.747,0.546,5.0,2,3,1,28.3,13.06,1.25,13.73,7.52,63.86,1
0.5,3.33,76.38,3.87,0,0.645,0.601,0.271,3.19,2,3,1,30.55,9.68,1.25,10.04,6.66,58.18,0
0.6,3.9,88.69,3.45,2,0.565,0.366,0.12,3.29,1,2,1,35.48,8.48,2.25,5.84,7.8,59.85,0
14.1,1.81,71.84,5.0,3,0.391,0.717,0.525,3.04,4,5,1,28.74,5.86,15.0,13.19,3.62,66.41,0
7.1,3.47,62.18,4.25,4,0.442,0.362,0.181,3.53,3,4,1,24.87,6.63,13.31,6.15,6.94,57.9,0
0.6,5.0,76.35,4.45,2,0.844,0.807,0.543,3.43,1,2,1,30.54,12.66,2.25,14.56,10.0,70.01,1
9.2,3.61,79.98,5.0,1,0.805,0.527,0.254,2.72,4,5,1,31.99,12.08,13.8,8.9,7.22,73.99,1
2.1,3.55,60.06,3.76,1,0.873,0.786,0.613,3.2,3,4,1,24.02,13.1,3.94,14.68,7.1,62.84,0
5.3,3.94,63.26,3.16,3,0.726,0.783,0.726,3.93,3,4,1,25.3,10.89,9.94,15.32,7.88,69.33,0
4.2,4.22,87.14,3.97,1,0.791,0.911,0.329,4.22,2,3,1,34.86,11.86,10.5,14.73,8.44,80.39,1
1.8,1.9,90.03,2.44,0,0.324,0.807,0.686,3.52,1,2,1,36.01,4.86,6.75,15.41,3.8,66.83,1
10.0,2.15,84.67,3.11,1,0.952,0.653,0.267,3.54,4,5,1,33.87,14.28,15.0,10.74,4.3,78.19,1
4.9,3.67,51.29,2.35,5,0.619,0.574,0.305,3.25,2,3,1,20.52,9.28,12.25,9.87,7.34,59.26,0
3.7,2.93,90.85,3.4,0,0.575,0.731,0.402,3.15,1,2,1,36.34,8.62,13.88,12.65,5.86,77.35,1
2.3,4.55,77.71,2.35,3,0.514,0.948,0.421,2.86,2,3,1,31.08,7.71,5.75,15.8,9.1,69.44,0
4.2,3.25,84.22,2.31,0,0.854,0.897,0.316,2.41,1,2,1,33.69,12.81,15.0,14.45,6.5,82.45,0
8.1,1.95,62.95,3.41,4,0.698,0.972,0.814,3.01,2,3,1,25.18,10.47,15.0,18.49,3.9,73.04,1
5.6,2.49,84.72,2.86,0,0.693,0.776,0.664,4.13,4,5,1,33.89,10.4,8.4,14.85,4.98,72.52,1
0.5,1.3,69.31,1.07,3,0.645,0.55,0.549,3.2,1,2,1,27.72,9.68,1.88,10.99,2.6,52.87,0
5.3,3.31,66.24,1.54,4,0.696,0.68,0.649,3.26,1,2,1,26.5,10.44,15.0,13.41,6.62,71.97,0
1.5,3.35,34.05,1.85,6,0.906,0.83,0.502,3.24,1,2,1,13.62,13.59,5.62,14.63,6.7,54.16,0
9.5,3.16,67.05,2.12,3,0.614,0.823,0.324,4.37,3,4,1,26.82,9.21,15.0,13.47,6.32,70.82,1
0.9,4.36,83.06,3.41,2,0.754,0.513,0.158,2.85,1,2,1,33.22,11.31,3.38,8.13,8.72,64.76,1
7.6,4.46,86.17,3.22,0,0.852,0.902,0.606,3.69,2,3,1,34.47,12.78,15.0,16.26,8.92,87.43,1
6.3,3.36,54.78,4.07,4,0.971,0.618,0.558,3.45,3,4,1,21.91,14.56,11.81,12.0,6.72,67.0,0
4.6,1.79,81.12,3.75,1,0.552,0.731,0.356,3.55,2,3,1,32.45,8.28,11.5,12.37,3.58,68.18,1
5.9,3.99,78.18,4.07,3,0.421,0.859,0.377,3.67,1,2,1,31.27,6.32,15.0,14.29,7.98,74.86,1
1.1,3.94,69.51,3.61,3,0.489,0.767,0.466,3.54,1,2,1,27.8,7.34,4.12,13.53,7.88,60.67,1
0.5,3.75,80.37,3.21,3,0.343,0.725,0.671,4.06,1,2,1,32.15,5.14,1.88,14.18,7.5,60.85,1
2.9,4.29,64.21,4.1,3,0.623,0.508,0.313,3.48,2,3,1,25.68,9.35,7.25,8.99,8.58,59.85,0
7.1,2.57,95.05,3.92,0,0.198,0.858,0.691,4.72,3,4,1,38.02,2.97,13.31,16.16,5.14,75.6,0
2.1,5.0,69.14,3.38,2,0.678,0.687,0.429,3.53,3,4,1,27.66,10.17,3.94,12.19,10.0,63.96,0
7.6,2.73,79.1,4.27,0,0.815,0.685,0.384,2.31,3,4,1,31.64,12.22,14.25,11.89,5.46,75.46,1
0.7,4.1,83.44,0.65,2,0.917,0.714,0.435,3.95,1,2,1,33.38,13.76,2.62,12.61,8.2,70.57,1
10.9,2.15,84.2,2.71,3,0.486,0.597,0.5,3.77,4,5,1,33.68,7.29,15.0,11.36,4.3,71.63,1
0.5,2.76,34.77,2.69,5,0.954,0.724,0.6,3.52,1,2,1,13.91,14.31,1.88,13.74,5.52,49.36,0
0.5,4.71,91.58,4.15,1,0.807,0.925,0.557,3.32,1,2,1,36.63,12.1,1.88,16.29,9.42,76.32,1
0.5,3.29,71.87,4.57,2,0.533,0.784,0.382,2.02,1,2,1,28.75,8.0,1.88,13.27,6.58,58.48,0
1.9,4.17,40.54,1.55,4,0.63,0.742,0.295,2.14,2,3,1,16.22,9.45,4.75,12.16,8.34,50.92,0
2.6,3.69,80.43,4.41,0,0.488,0.804,0.242,4.65,1,2,1,32.17,7.32,9.75,12.71,7.38,69.33,0
5.6,3.42,89.43,1.83,1,0.652,0.734,0.278,3.09,3,4,1,35.77,9.78,10.5,11.94,6.84,74.83,0
3.4,4.59,67.66,1.86,5,0.859,0.935,0.388,4.18,2,3,1,27.06,12.88,8.5,15.42,9.18,73.04,1
5.6,3.31,73.6,2.77,2,0.879,0.823,0.644,2.38,3,4,1,29.44,13.18,10.5,15.39,6.62,75.13,0
4.5,2.08,75.94,2.68,1,0.387,0.34,0.297,2.77,2,3,1,30.38,5.8,11.25,6.54,4.16,58.13,0
1.5,2.86,32.8,1.44,8,0.4,0.961,0.784,3.98,2,3,1,13.12,6.0,3.75,18.16,5.72,46.75,0
7.8,3.94,56.78,3.65,5,0.593,0.76,0.613,3.43,3,4,1,22.71,8.9,14.62,14.32,7.88,68.43,1
3.7,3.82,68.02,3.68,2,0.616,0.474,0.472,3.88,1,2,1,27.21,9.24,13.88,9.47,7.64,67.44,0
7.0,2.25,54.25,4.05,5,0.797,0.25,0.243,3.49,3,4,1,21.7,11.96,13.12,4.96,4.5,56.24,0
3.4,2.92,95.39,2.57,0,0.336,0.458,0.224,3.35,1,2,1,38.16,5.04,12.75,7.76,5.84,69.55,1
4.7,3.03,88.16,2.96,1,0.742,0.777,0.312,3.02,2,3,1,35.26,11.13,11.75,12.75,6.06,76.95,1
11.1,3.21,76.92,2.97,1,0.919,0.567,0.231,2.66,3,4,1,30.77,13.78,15.0,9.32,6.42,75.29,1
1.8,2.4,80.45,4.69,3,0.97,0.964,0.894,4.48,1,2,1,32.18,14.55,6.75,18.86,4.8,77.14,1
1.2,3.0,91.95,0.17,0,0.8,0.868,0.323,4.6,1,2,1,36.78,12.0,4.5,14.09,6.0,73.37,1
4.1,2.92,74.69,2.04,3,0.428,0.779,0.419,2.77,3,4,1,29.88,6.42,7.69,13.42,5.84,63.25,0
1.4,4.12,80.44,3.01,2,0.591,0.714,0.479,2.73,2,3,1,32.18,8.86,3.5,12.87,8.24,65.65,0
0.9,4.15,79.79,1.91,0,0.55,0.409,0.298,3.26,2,3,1,31.92,8.25,2.25,7.51,8.3,58.23,0
5.8,3.38,80.35,2.74,2,0.702,0.762,0.546,3.74,4,5,1,32.14,10.53,8.7,13.94,6.76,72.07,1
1.8,3.19,82.25,2.87,2,0.938,0.785,0.668,3.37,1,2,1,32.9,14.07,6.75,15.0,6.38,75.1,1
4.8,3.61,51.14,2.34,5,0.684,0.736,0.515,3.85,2,3,1,20.46,10.26,12.0,13.39,7.22,63.33,0
6.1,2.85,61.15,3.06,5,0.631,0.875,0.784,3.47,3,4,1,24.46,9.46,11.44,16.95,5.7,68.01,0
0.5,2.58,78.51,3.63,4,0.192,0.564,0.203,3.42,1,2,1,31.4,2.88,1.88,9.11,5.16,50.43,0
4.3,2.75,78.6,2.76,3,0.863,0.483,0.435,5.0,1,2,1,31.44,12.94,15.0,9.37,5.5,74.25,1
9.8,2.99,55.49,2.55,5,0.774,0.312,0.222,3.13,4,5,1,22.2,11.61,14.7,5.7,5.98,60.19,1
1.6,2.57,76.38,2.83,2,0.657,0.814,0.371,4.65,1,2,1,30.55,9.86,6.0,13.62,5.14,65.17,1
0.5,3.63,64.59,2.99,4,0.507,0.715,0.704,4.51,1,2,1,25.84,7.6,1.88,14.23,7.26,56.81,0
5.4,4.08,57.89,1.26,3,0.384,0.913,0.874,3.85,2,3,1,23.16,5.76,13.5,18.03,8.16,68.61,1
2.5,2.23,91.24,3.46,2,0.573,0.902,0.805,2.15,1,2,1,36.5,8.59,9.38,17.46,4.46,76.39,1
0.5,3.52,69.12,2.55,5,0.778,0.754,0.707,3.52,1,2,1,27.65,11.67,1.88,14.8,7.04,63.04,0
5.8,3.32,57.85,4.26,3,0.848,0.839,0.476,3.14,3,4,1,23.14,12.72,10.88,14.6,6.64,67.98,0
2.7,3.77,90.84,3.59,2,0.396,0.612,0.281,3.51,1,2,1,36.34,5.94,10.12,10.25,7.54,70.19,1
1.8,3.49,51.33,4.17,6,0.855,0.833,0.357,2.76,2,3,1,20.53,12.82,4.5,13.8,6.98,58.63,0
6.5,2.34,80.93,1.99,2,0.656,0.408,0.372,4.03,3,4,1,32.37,9.84,12.19,7.94,4.68,67.02,1
0.5,2.49,83.01,2.63,3,0.446,0.956,0.84,4.19,2,3,1,33.2,6.69,1.25,18.42,4.98,64.54,1
7.3,3.52,53.31,1.76,3,0.528,0.976,0.963,4.32,2,3,1,21.32,7.92,15.0,19.44,7.04,70.72,0
7.1,4.32,96.67,2.29,0,0.879,0.777,0.694,3.23,2,3,1,38.67,13.18,15.0,15.04,8.64,90.53,1
1.4,1.73,77.76,4.25,2,0.606,0.776,0.576,2.76,1,2,1,31.1,9.09,5.25,14.32,3.46,63.22,1
8.9,3.78,93.79,4.49,1,0.139,0.574,0.229,3.75,4,5,1,37.52,2.08,13.35,9.41,7.56,69.92,0
0.5,4.45,55.06,1.85,4,0.811,0.792,0.329,4.73,1,2,1,22.02,12.16,1.88,13.06,8.9,58.02,0
0.5,3.38,64.22,2.54,6,0.329,0.804,0.508,3.55,1,2,1,25.69,4.94,1.88,14.3,6.76,53.57,0
3.3,3.94,78.41,2.92,1,0.44,0.688,0.576,3.82,2,3,1,31.36,6.6,8.25,13.09,7.88,67.18,1
0.5,2.94,79.64,3.59,1,0.535,0.869,0.366,3.34,1,2,1,31.86,8.02,1.88,14.36,5.88,62.0,0
3.8,3.4,85.6,1.24,2,0.839,0.955,0.899,3.15,1,2,1,34.24,12.58,14.25,18.76,6.8,86.63,1
7.0,2.2,58.64,1.4,0,0.745,0.653,0.508,3.96,1,2,1,23.46,11.18,15.0,12.19,4.4,66.23,1
0.5,1.62,93.91,3.49,1,0.814,0.732,0.38,3.43,1,2,1,37.56,12.21,1.88,12.53,3.24,67.42,0
0.5,4.25,67.66,1.05,3,0.598,0.939,0.864,3.78,1,2,1,27.06,8.97,1.88,18.33,8.5,64.74,0
8.6,2.71,65.58,2.55,7,0.592,0.39,0.28,3.86,4,5,1,26.23,8.88,12.9,7.14,5.42,60.57,0
10.0,3.14,98.76,3.16,0,0.726,0.853,0.694,3.74,3,4,1,39.5,10.89,15.0,16.11,6.28,87.78,1
0.5,2.39,65.82,3.42,1,0.654,0.855,0.487,3.89,1,2,1,26.33,9.81,1.88,14.89,4.78,57.69,1
