# This dataset is synthetic and created for academic development/testing. It does NOT represent any real employee, organisation, HR record, or promotion decision.
experience_years,performance_rating,current_grade_encoded,target_grade_encoded,grade_gap,total_skills,average_skill_level,skill_coverage_percentage,mandatory_skill_gap_count,weighted_skill_gap,total_certifications,completed_certifications,certification_completion_rate,mandatory_certification_gap_count,total_projects,completed_projects,lead_projects,project_completion_rate,lead_project_completion_rate,average_project_rating,skill_score,certification_score,experience_score,project_score,performance_score,readiness_score,promotion_success
5.1,3.67,1,2,1,5,2.83,80.56,0,0.0,0,0,0.614,1,1,1,0,0.5,0.0,4.19,32.22,9.21,15.0,7.0,7.34,70.77,0
1.4,2.6,1,2,1,8,4.38,60.97,3,2.0082,1,1,0.693,2,3,3,1,1.0,0.5,4.17,24.39,10.4,5.25,17.0,5.2,62.24,0
8.9,4.67,4,5,1,8,4.68,26.58,5,4.7101,2,1,0.696,0,3,3,1,0.6,0.5,2.85,10.63,10.44,13.35,11.4,9.34,55.16,0
0.5,4.15,3,4,1,11,3.72,92.94,0,0.0,1,1,0.748,0,9,9,3,1.0,1.0,2.93,37.18,11.22,0.94,20.0,8.3,77.64,1
3.1,3.58,3,4,1,9,1.81,55.44,3,2.7794,2,1,0.548,2,7,7,2,1.0,1.0,3.87,22.18,8.22,5.81,20.0,7.16,63.37,0
3.3,1.55,2,3,1,4,3.49,93.78,1,0.8351,0,0,0.708,1,0,0,0,0.0,0.0,4.19,37.51,10.62,8.25,0.0,3.1,59.48,0
0.5,2.71,1,2,1,4,3.85,64.95,1,0.6443,4,3,0.704,2,8,8,3,1.0,1.0,2.09,25.98,10.56,1.88,20.0,5.42,63.84,1
3.8,4.05,1,2,1,10,3.73,29.81,3,2.9625,4,2,0.542,1,6,6,0,1.0,0.0,3.7,11.92,8.13,14.25,14.0,8.1,56.4,0
9.0,4.47,2,3,1,6,3.78,49.97,5,3.9275,2,0,0.245,3,0,0,0,0.0,0.0,1.96,19.99,3.68,15.0,0.0,8.94,47.61,1
0.5,4.39,1,2,1,2,3.36,62.82,1,0.7584,0,0,0.647,1,7,7,1,1.0,1.0,3.12,25.13,9.7,1.88,20.0,8.78,65.49,0
5.9,2.23,4,5,1,10,2.93,80.28,0,0.0,0,0,0.298,2,0,0,0,0.0,0.0,4.27,32.11,4.47,8.85,0.0,4.46,49.89,1
4.6,3.74,2,3,1,8,2.39,90.93,0,0.0,4,3,0.776,2,4,4,0,1.0,0.0,5.0,36.37,11.64,11.5,14.0,7.48,80.99,1
6.0,4.31,1,2,1,2,1.1,74.54,4,3.3724,5,2,0.456,2,1,1,0,0.333,0.0,3.33,29.82,6.84,15.0,4.66,8.62,64.94,1
0.5,2.17,1,2,1,9,3.34,48.05,3,2.1462,5,4,0.743,0,0,0,0,0.0,0.0,2.63,19.22,11.14,1.88,0.0,4.34,36.58,1
2.6,3.49,1,2,1,8,3.19,84.24,3,2.9019,2,1,0.74,0,5,5,1,1.0,1.0,3.14,33.7,11.1,9.75,20.0,6.98,81.53,1
6.6,3.72,1,2,1,8,3.56,75.15,2,1.9651,2,2,0.892,0,6,6,0,1.0,0.0,3.55,30.06,13.38,15.0,14.0,7.44,79.88,0
3.9,3.26,4,5,1,10,1.66,48.84,4,3.5353,0,0,0.771,1,4,4,0,0.667,0.0,3.03,19.54,11.56,5.85,9.34,6.52,52.81,0
0.5,2.02,1,2,1,6,3.65,79.21,1,0.6212,0,0,0.607,1,3,3,0,1.0,0.0,2.85,31.68,9.1,1.88,14.0,4.04,60.7,1
2.9,3.24,2,3,1,6,5.0,91.48,0,0.0,4,2,0.531,2,5,5,0,1.0,0.0,3.2,36.59,7.97,7.25,14.0,6.48,72.29,0
4.7,3.24,3,4,1,8,3.08,80.18,3,1.5306,2,1,0.695,2,1,1,0,0.25,0.0,3.78,32.07,10.42,8.81,3.5,6.48,61.28,0
10.0,3.38,4,5,1,3,2.94,56.26,3,2.7396,2,2,0.929,0,0,0,0,0.0,0.0,3.38,22.5,13.94,15.0,0.0,6.76,58.2,1
6.6,3.05,3,4,1,3,3.31,88.64,1,0.7468,2,2,0.878,0,1,1,0,0.2,0.0,2.88,35.46,13.17,12.38,2.8,6.1,69.91,1
0.5,3.15,2,3,1,10,5.0,40.35,5,4.8418,1,1,0.968,0,0,0,0,0.0,0.0,3.03,16.14,14.52,1.25,0.0,6.3,38.21,1
5.3,3.47,2,3,1,4,1.98,91.26,1,0.6889,5,4,0.74,1,7,7,1,1.0,0.5,3.21,36.5,11.1,13.25,17.0,6.94,84.79,0
0.6,3.85,1,2,1,7,3.2,91.43,0,0.0,4,2,0.464,2,6,6,2,1.0,1.0,2.8,36.57,6.96,2.25,20.0,7.7,73.48,0
11.2,3.26,4,5,1,4,2.2,88.96,1,0.9975,4,2,0.614,1,1,1,0,0.2,0.0,3.0,35.58,9.21,15.0,2.8,6.52,69.11,1
4.4,3.17,3,4,1,4,2.45,32.19,5,3.8267,2,2,0.793,0,5,5,2,1.0,1.0,3.95,12.88,11.9,8.25,20.0,6.34,59.37,0
0.5,3.57,1,2,1,7,2.95,84.69,2,1.8632,4,3,0.781,0,4,4,0,1.0,0.0,3.34,33.88,11.72,1.88,14.0,7.14,68.62,1
9.4,1.96,4,5,1,10,4.35,46.36,7,6.6887,2,1,0.419,2,1,1,0,0.2,0.0,2.27,18.54,6.28,14.1,2.8,3.92,45.64,0
7.9,3.88,3,4,1,6,4.8,84.74,0,0.0,3,3,0.885,0,9,9,0,1.0,0.0,4.22,33.9,13.28,14.81,14.0,7.76,83.75,0
7.1,3.5,3,4,1,3,3.45,59.87,3,2.1836,0,0,0.58,2,9,9,3,1.0,1.0,3.79,23.95,8.7,13.31,20.0,7.0,72.96,0
0.5,3.53,2,3,1,4,2.62,78.05,3,2.3293,4,3,0.675,0,7,7,3,1.0,1.0,2.53,31.22,10.12,1.25,20.0,7.06,69.65,1
3.3,4.27,1,2,1,3,5.0,90.74,2,1.8477,0,0,0.823,2,8,8,3,1.0,1.0,3.24,36.3,12.34,12.38,20.0,8.54,89.56,1
5.4,1.94,4,5,1,10,2.57,54.08,4,3.9293,4,3,0.718,1,5,5,0,1.0,0.0,2.95,21.63,10.77,8.1,14.0,3.88,58.38,1
4.6,1.92,2,3,1,5,2.43,75.93,1,0.6642,3,2,0.675,0,8,8,3,1.0,1.0,3.97,30.37,10.12,11.5,20.0,3.84,75.83,0
0.5,3.72,1,2,1,5,1.23,78.92,1,0.8693,0,0,0.427,2,5,5,0,1.0,0.0,3.24,31.57,6.4,1.88,14.0,7.44,61.29,1
5.1,3.49,2,3,1,2,4.4,81.04,2,1.2854,3,2,0.824,0,1,1,0,0.25,0.0,3.45,32.42,12.36,12.75,3.5,6.98,68.01,0
0.5,3.64,1,2,1,6,3.97,59.45,2,1.611,1,1,0.63,2,1,1,0,0.333,0.0,3.37,23.78,9.45,1.88,4.66,7.28,47.05,0
0.8,3.13,2,3,1,11,5.0,47.21,4,3.6096,2,1,0.647,0,8,8,1,1.0,1.0,2.46,18.88,9.7,2.0,20.0,6.26,56.84,0
9.8,4.03,4,5,1,6,1.61,67.43,4,3.773,0,0,0.655,2,4,4,0,0.667,0.0,4.48,26.97,9.83,14.7,9.34,8.06,68.9,0
2.6,4.25,1,2,1,8,4.46,37.36,5,3.6218,4,2,0.524,0,7,7,2,1.0,1.0,3.96,14.94,7.86,9.75,20.0,8.5,61.05,1
0.5,3.89,1,2,1,3,3.07,76.22,1,0.6849,3,2,0.667,1,1,1,0,0.333,0.0,2.98,30.49,10.01,1.88,4.66,7.78,54.82,0
5.6,3.29,1,2,1,3,3.81,88.64,0,0.0,2,2,0.911,0,4,4,1,1.0,0.5,3.63,35.46,13.66,15.0,17.0,6.58,87.7,1
4.9,1.81,3,4,1,9,1.35,65.66,2,1.1334,5,4,0.753,1,0,0,0,0.0,0.0,4.18,26.26,11.3,9.19,0.0,3.62,50.37,0
2.1,4.12,1,2,1,2,4.47,80.35,2,1.3649,3,2,0.706,1,2,2,0,1.0,0.0,3.54,32.14,10.59,7.88,14.0,8.24,72.85,0
4.7,4.48,2,3,1,6,3.79,50.92,3,2.808,3,2,0.772,2,1,1,0,0.25,0.0,4.59,20.37,11.58,11.75,3.5,8.96,56.16,0
4.5,4.02,3,4,1,5,2.96,56.21,2,1.4188,0,0,0.668,1,2,2,0,0.4,0.0,5.0,22.48,10.02,8.44,5.6,8.04,54.58,0
5.2,2.8,2,3,1,2,3.65,55.72,2,1.3173,3,3,0.914,0,6,6,1,1.0,1.0,3.41,22.29,13.71,13.0,20.0,5.6,74.6,1
0.7,4.04,1,2,1,7,2.23,65.21,1,0.8696,4,3,0.794,1,0,0,0,0.0,0.0,3.09,26.08,11.91,2.62,0.0,8.08,48.69,0
1.0,4.19,1,2,1,11,2.42,62.59,4,2.4312,5,1,0.276,2,1,1,0,0.5,0.0,2.81,25.04,4.14,3.75,7.0,8.38,48.31,0
5.4,4.75,1,2,1,2,2.54,74.04,2,1.2563,3,3,0.956,0,6,6,0,1.0,0.0,1.95,29.62,14.34,15.0,14.0,9.5,82.46,1
1.4,2.8,2,3,1,10,1.15,73.36,2,1.9359,1,1,0.71,1,1,1,0,0.25,0.0,4.37,29.34,10.65,3.5,3.5,5.6,52.59,1
0.5,3.32,3,4,1,7,3.86,86.09,1,0.5408,4,2,0.399,1,5,5,2,1.0,1.0,3.25,34.44,5.98,0.94,20.0,6.64,68.0,0
10.0,4.1,3,4,1,9,4.19,58.21,2,1.4146,0,0,0.182,3,8,8,2,1.0,1.0,4.11,23.28,2.73,15.0,20.0,8.2,69.21,0
12.4,3.55,3,4,1,2,2.3,95.43,0,0.0,1,0,0.4,0,7,7,2,1.0,1.0,4.25,38.17,6.0,15.0,20.0,7.1,86.27,1
1.0,2.61,1,2,1,10,3.35,49.72,6,3.6908,5,4,0.733,0,1,1,0,0.5,0.0,2.74,19.89,11.0,3.75,7.0,5.22,46.86,1
3.2,3.83,4,5,1,2,2.73,91.2,2,1.281,4,2,0.521,2,1,1,0,0.167,0.0,2.85,36.48,7.82,4.8,2.34,7.66,59.1,0
1.2,3.96,1,2,1,11,3.33,60.86,1,0.6109,5,5,0.958,0,7,7,0,1.0,0.0,4.72,24.34,14.37,4.5,14.0,7.92,65.13,0
1.3,3.57,1,2,1,8,2.37,69.59,2,1.3452,2,2,0.847,1,3,3,0,1.0,0.0,3.45,27.84,12.7,4.88,14.0,7.14,66.56,0
1.5,3.68,1,2,1,5,2.12,81.8,0,0.0,4,3,0.733,2,4,4,1,1.0,0.5,3.04,32.72,11.0,5.62,17.0,7.36,73.7,1
1.2,3.29,2,3,1,2,4.05,94.29,1,0.7158,4,3,0.654,2,4,4,1,1.0,0.5,2.77,37.72,9.81,3.0,17.0,6.58,74.11,0
3.4,4.68,1,2,1,8,2.94,51.88,2,1.4178,1,0,0.338,2,5,5,0,1.0,0.0,3.4,20.75,5.07,12.75,14.0,9.36,61.93,0
7.3,2.78,3,4,1,2,5.0,57.28,5,3.4665,5,4,0.723,1,4,4,1,0.8,0.5,4.56,22.91,10.84,13.69,14.2,5.56,67.2,1
0.5,3.03,2,3,1,8,3.05,77.78,0,0.0,5,4,0.737,2,0,0,0,0.0,0.0,3.98,31.11,11.06,1.25,0.0,6.06,49.48,0
7.7,3.51,3,4,1,9,2.07,66.08,4,2.2346,0,0,0.692,1,0,0,0,0.0,0.0,3.63,26.43,10.38,14.44,0.0,7.02,58.27,1
9.1,4.2,2,3,1,4,4.23,65.42,3,2.8078,4,3,0.853,1,0,0,0,0.0,0.0,4.61,26.17,12.8,15.0,0.0,8.4,62.37,0
4.4,2.3,2,3,1,4,3.63,35.92,6,3.9815,2,1,0.495,2,2,2,0,0.667,0.0,4.48,14.37,7.42,11.0,9.34,4.6,46.73,0
5.2,2.45,3,4,1,4,3.73,91.97,0,0.0,4,2,0.435,2,8,8,3,1.0,1.0,3.73,36.79,6.52,9.75,20.0,4.9,77.96,0
1.6,1.87,1,2,1,4,4.19,84.27,1,0.6576,3,1,0.238,3,9,9,4,1.0,1.0,5.0,33.71,3.57,6.0,20.0,3.74,67.02,0
7.5,3.53,3,4,1,3,2.35,92.47,1,0.5414,1,1,0.776,1,4,4,0,0.8,0.0,3.33,36.99,11.64,14.06,11.2,7.06,80.95,0
0.5,2.61,1,2,1,4,2.87,92.5,1,0.76,0,0,0.669,0,0,0,0,0.0,0.0,4.27,37.0,10.04,1.88,0.0,5.22,54.14,1
4.4,3.19,2,3,1,8,2.83,67.26,1,0.6139,3,3,0.889,0,0,0,0,0.0,0.0,3.22,26.9,13.34,11.0,0.0,6.38,57.62,0
5.0,4.03,3,4,1,5,1.71,81.37,1,0.8765,5,4,0.886,1,8,8,3,1.0,1.0,4.13,32.55,13.29,9.38,20.0,8.06,83.28,0
6.6,2.99,1,2,1,9,2.74,69.95,1,0.8287,4,3,0.695,1,3,3,1,1.0,0.5,3.33,27.98,10.42,15.0,17.0,5.98,76.38,1
1.6,3.69,1,2,1,10,4.34,79.77,0,0.0,1,1,0.81,1,8,8,3,1.0,1.0,3.82,31.91,12.15,6.0,20.0,7.38,77.44,1
10.2,3.26,3,4,1,9,3.24,96.33,0,0.0,5,3,0.544,1,5,5,1,1.0,0.5,5.0,38.53,8.16,15.0,17.0,6.52,85.21,0
1.2,4.04,2,3,1,7,1.65,74.91,1,0.8543,2,2,0.799,0,8,8,3,1.0,1.0,4.17,29.96,11.99,3.0,20.0,8.08,73.03,1
5.5,3.88,2,3,1,5,1.44,72.58,1,0.6557,3,1,0.324,2,1,1,0,0.333,0.0,3.83,29.03,4.86,13.75,4.66,7.76,60.06,1
8.8,2.95,4,5,1,11,4.66,65.07,4,3.9973,1,1,0.946,0,8,8,1,1.0,0.5,2.96,26.03,14.19,13.2,17.0,5.9,76.32,1
0.5,3.37,1,2,1,4,2.91,61.28,4,3.4635,3,3,0.971,0,5,5,0,1.0,0.0,3.63,24.51,14.56,1.88,14.0,6.74,61.69,0
4.4,4.33,2,3,1,6,2.35,90.14,1,0.7952,3,2,0.723,0,4,4,1,1.0,0.5,2.79,36.06,10.84,11.0,17.0,8.66,83.56,0
9.0,3.81,3,4,1,6,2.73,51.27,1,0.9336,4,3,0.725,1,5,5,1,1.0,0.5,4.12,20.51,10.88,15.0,17.0,7.62,71.01,1
1.2,2.38,1,2,1,9,1.52,49.1,2,1.5893,2,1,0.492,2,3,3,0,1.0,0.0,4.1,19.64,7.38,4.5,14.0,4.76,50.28,0
0.5,4.02,1,2,1,7,4.42,91.15,1,0.7764,3,2,0.758,1,6,6,0,1.0,0.0,3.37,36.46,11.37,1.88,14.0,8.04,71.75,0
8.0,2.63,4,5,1,9,2.61,46.95,4,2.4746,3,2,0.767,1,7,7,2,1.0,1.0,4.66,18.78,11.5,12.0,20.0,5.26,67.54,0
0.5,4.63,1,2,1,11,4.37,60.49,0,0.0,2,1,0.635,0,8,8,1,1.0,1.0,4.57,24.2,9.52,1.88,20.0,9.26,64.86,1
1.1,4.32,1,2,1,5,3.05,74.19,4,2.7493,3,3,0.844,0,9,9,4,1.0,1.0,3.6,29.68,12.66,4.12,20.0,8.64,75.1,0
3.8,3.73,2,3,1,10,4.43,49.29,4,2.0862,0,0,0.94,0,4,4,1,1.0,1.0,3.9,19.72,14.1,9.5,20.0,7.46,70.78,1
0.5,3.63,1,2,1,3,3.26,87.93,2,1.8161,5,3,0.618,2,7,7,1,1.0,0.5,3.09,35.17,9.27,1.88,17.0,7.26,70.58,1
0.5,3.33,1,2,1,11,3.85,79.79,2,1.0519,0,0,0.681,0,8,8,3,1.0,1.0,3.31,31.92,10.22,1.88,20.0,6.66,70.68,1
7.2,4.04,3,4,1,3,3.72,60.66,4,3.3446,5,5,0.928,0,0,0,0,0.0,0.0,2.75,24.26,13.92,13.5,0.0,8.08,59.76,0
0.7,3.2,1,2,1,10,3.62,87.86,1,0.5784,4,1,0.321,1,4,4,0,1.0,0.0,3.17,35.14,4.82,2.62,14.0,6.4,62.98,1
0.5,3.69,2,3,1,5,3.35,81.54,3,2.1489,5,4,0.818,0,7,7,2,1.0,1.0,3.43,32.62,12.27,1.25,20.0,7.38,73.52,1
8.0,4.2,3,4,1,11,2.77,84.59,0,0.0,0,0,0.826,1,4,4,1,1.0,1.0,2.34,33.84,12.39,15.0,20.0,8.4,89.63,1
4.7,3.05,2,3,1,3,4.92,79.33,1,0.5472,1,1,0.796,0,1,1,0,0.25,0.0,3.9,31.73,11.94,11.75,3.5,6.1,65.02,0
